service_id,name_nl,name_en
60,tuinonderhoud,maintain-garden
211,keuken-gereedmaken-voor-plaatsing,prepare-kitchen-for-kitchen-fitting
42,aanbouw-opbouw-plaatsen,build-expansion
34,wand-vloertegels-zetten,wall-floor-tiling
114,ombouw-koplaatsen-vervangen,build-replace-coving
15,badkamer-plaatsen-renoveren,bathroom-restoration
29,parket-leggen,install-wooden-floor-parquet
32,laminaat-leggen,install-laminate-floor
4,cv-ketel-installeren-vervangen,install-replace-heating-systems
16,dakrenovatie-vervanging,replace-or-renovate-roof
19,ramen-plaatsen-vervangen,install-replace-windows
2,buitenschilderwerk,exterior-painting
52,gras-heg-snoeien-verwijderen,remove-trim-grass-hedge
1,binnenschilderwerk,interior-painting
8,stucwerk-binnen,interior-plastering
63,stopcontacten-schakelaars-installeren,install-repair-electrical-sockets-and-switches
222,toiletruimte-verbouwen,renovate-toilet
18,keuken-renovatie,kitchen-restoration
46,dakkapel-plaatsen-vervangen,install-replace-dormer
56,bestrating-aanleggen,pave-garden
181,buitenmuur-metselen,mason-outside-wall
94,cv-ketel-repareren-onderhouden-verplaatsen,repair-maintain-central-heating
40,vloer-egaliseren,level-floor
7,zonneboiler-plaatsen,solar-thermal
37,plinten-plaatsen,install-baseboard-wainscoting
99,verhuizen-particulier,moving-service-consumers
144,binnenwand-plaatsen,install-inner-partitioning
129,sloopwerk-algemeen,demolition-work
20,kozijnen-repareren,repair-windows
247,vloer-schuren-olien-lakken,refinish-polish-floor
112,plafonds-plaatsen-verlagen,build-lower-ceiling
235,dak-dakgoot-dakterras-reparatie-onderhoud,repair-maintain-roof-gutter-terraced-roof
36,vloerbedekking-tapijt-leggen,install-carpet
6,airco-installeren-vervangen,install-replace-airconditioning
13,renovatie-huis,complete-house-renovation
246,boeidelen-windveren-rabatdelen-vervangen-repareren,replace-repair-fascia-boards-groove-boards-bargeboards
23,rolluik-plaatsen-vervangen,install-shutters
21,binnendeur-plaatsen-vervangen,install-interior-doors
212,gordijnrails-ophangen,put-up-curtain-rails
22,buitendeur-plaatsen-vervangen,install-exterior-reinforced-doors
64,groepenkast-plaatsen-vervangen-uitbreiden,install-repair-switchboard
87,radiator-verplaatsen-vervangen,install-replace-radiators
54,tuin-irrigatie,irrigate-garden
261,lekkage-verhelpen,stop-leakage
158,sanitair-plaatsen-vervangen,install-replace-sanitary
57,schutting-hek-plaatsen,install-fence
262,afvoeren-puin-meubilair,remove-debris-furniture
265,verhuizen-binnen-zelfde-gebouw,moving-within-same-building
185,verhuizing-zakelijk,moving-service-for-businesses
224,dakkapel-dakraam-repareren,repair-dormer-skylight
55,tuinaanleg,install-landscaping
267,hek-repareren-onderhouden,repair-maintain-fence
44,garage-verbouwen,build-garage-barn
53,bomen-struiken-rooien-verwijderen,remove-trim-tree
79,kraan-plaatsen-vervangen-of-repareren,install-repair-faucets
226,gevel-reparatie,repair-facade
5,waterleiding-riolering-verplaatsen-vervangen,install-replace-water-supply-and-drainage
170,gras-leggen-zaaien,lay-lawn-sow-grass
101,meubels-monteren,assemble-furniture
174,auto-reparatie-onderhoud,maintain-repair-car
91,elektrisch-hek-poort-repareren,repair-electric-gate-engines
33,vinyl-linoleum-pvc-vloer-leggen,install-pvc-floor
271,diverse-kleine-klussen,various-small-jobs
237,stucwerk-repareren,repair-plaster
249,schoonmaak-huis-bedrijfspand,cleaning-of-dwelling-house-office
122,schoonmaak-daken-dakgoten,clean-roof-gutters
213,lamp-ophangen,put-up-lighting
149,databekabeling-internet-utp-coax-aanleggen-repareren,install-repair-network-cabling-utp-coax
58,pergola-gazebo-tuinhuis-plaatsen,build-pergola
48,veranda-verbouwen,install-porch-roof
180,voegen-gevel,mason-replace-joint
123,glazenwassen,clean-windows
38,vloer-verwijderen,remove-floor
109,meubels-maken,build-furniture
133,glaszetten-ramen,glaze-window
171,grond-afgraven-egaliseren,level-excavate-soil
243,wand-vloertegels-repareren,repair-wall-floor-tiles
35,granito-marmeren-vloer-aanleggen,install-granito-marble-floor
127,binnenhuis-ontwerp,create-interior-remodelling-plan
115,vlonders-plaatsen-vervangen,build-replace-decking
134,schilderij-ophangen,hang-painting
146,dakramen-lichtkoepels-lichtstraten-plaatsen-vervangen,install-place-skylight-light-doom-roof-light
120,muren-gevels-reinigen-zandstralen,clean-sfacade
248,kitten,sealing
156,sloten-plaatsen-vervangen,install-replace-locks
263,gaten-boren,drill-holes
121,schoonmaak-rolluiken,clean-rolling-shutters
70,behangen-kamer,wallpaper
131,renovlies-glasvezelbehang-aanbrengen,fiber-glass-wallpaper
85,vloerverwarming-repareren-onderhoud,repair-floor-heating
274,meubels-repareren,repair-transform-furniture
172,fiets-reparatie-onderhoud,maintain-repair-bicycle
128,dakdoorvoer-maken-verplaatsen-vervangen,create-move-replace-roof-duct
219,trap-renoveren-repareren,renovate-repair-stairs
105,keuken-demonteren-plaatsen,assemble-kitchen-other-than-ikea
51,tuinverlichting-installeren,install-garden-lightning
50,dakterras-aanleggen,build-renovate-terraced-roof
119,reinigen-zonwering-markies,clean-awning-shutters-hatches
240,schuifpui-openslaande-deuren-repareren,repair-sliding-doors-garden-doors
270,bomen-struiken-planten,plant-trees-shrubs
125,bouw-constructietekening,create-building-contruction-plan
31,betonvloer-aanbrengen,install-concrete-screed-floor
72,zonnepanelen-plaatsen,install-solar-pv-panels
217,bestrating-verwijderen-afvoeren,remove-dispose-pavement
182,metaalbewerking,metallurgy
179,schoorsteen-metselen-repareren,mason-repair-chimney
164,vensterbanken-plaatsen-vervangen,install-replace-windowsill
159,schuifpui-openslaande-deuren-plaatsen-vervangen,install-replace-sliding-doors
89,toilet-repareren,repair-toilet-or-toilet-flush
39,reparatie-vloer,repair-floor
160,trap-plaatsen-vervangen,install-replace-stairs
137,kattenluikje-plaatsen,install-cat-flap
153,dakgoten-regenpijp-plaatsen-vervangen,install-replace-gutter-or-drainpipe
238,douche-bad-reparatie,repair-shower-bath
155,keukenblad-plaatsen-vervangen,install-replace-kitchen-worktop
284,laadpaal-plaatsen-vervangen,install-replace-ev-charger
67,verlichting-installeren-verplaatsen,install-move-lighting-points
154,binnen-buitenluiken-plaatsen-vervangen,install-replace-hatches
90,behang-verwijderen,remove-wallpaper
45,zolder-verbouwen,renovate-attic
126,constructieberekeningen,create-construction-calculation
68,reparatie-witgoed,repair-appliance
84,boiler-repareren-onderhouden-verplaatsen,repair-maintain-gas-boiler
3,vernissen-lakken-meubels,varnishing-lacquering-furniture
178,binnenmuur-metselen,mason-inner-wall
92,tuinontwerp-advies,design-landscape
11,waterdichte-isolatie,waterproof-insulation
111,vliering-plaatsen,build-garret
73,onderhoud-reparatie-zonnepanelen,repair-maintain-solar-pv-panels
81,gasleiding-aanleggen-vervangen,install-replace-gas-systems-and-pipes
223,deuren-repareren,repair-door
77,vloerverwarming-installeren-vervangen,install-replace-floor-heating
163,ventilatiesysteem-installeren-vervangen,install-replace-ventilation-system
66,tv-satelliet-aansluitingen-installeren-repareren,install-repair-tv-antennas-and-satellite-dishes
9,warmte-isolatie,thermal-insulation
88,thermostaten-plaatsen-vervangen,install-replace-thermostats
93,airco-repareren-onderhouden-verplaatsen,repair-maintain-airconditioning
130,stucwerk-buiten,exterior-plastering
230,luiken-repareren,repair-hatches
27,alarmsysteem-installeren-vervangen,install-replace-alarm-system
17,gevel-renovatie,facade-restoration
231,keukenkastjes-repareren,repair-kitchen-cabinets
106,keukenapparatuur-plaatsen-vervangen,assemble-replace-kitchen-appliances
83,boiler-installeren-vervangen,install-gas-boiler
268,afzuigkap-installeren-vervangen,install-replace-kitchen-hood
49,souterrain-kelder-verbouwen,renovate-soutterain
43,funderingen-heiwerken,install-renovate-foundation
173,boot-reparatie-onderhoud,maintain-repair-boat
272,decoratief-schilderwerk,decorative-painting
152,garagedeur-plaatsen-vervangen,install-replace-garage-door
71,buitenzonwering-zonnescherm-plaatsen-vervangen,install-awning
184,piano-transport,move-piano
177,gordijnen-vermaken,make-alterations-to-curtains
139,openhaard-plaatsen,install-fireplace
14,nieuwbouw-volledig-huis,build-entire-house
107,carport-plaatsen,build-carport
210,lijsten-ornamenten,plaster-frames-ornaments
47,balkon-verbouwen,build-renovate-balcony
82,gasleiding-repareren,repair-gas-systems-and-pipes
24,binnenzonwering-plaatsen-vervangen,install-rolling-shutters
78,riolering-afvoer-ontstoppen-reinigen,unclog-drain-and-sewage-pipes
161,radiatorkranen-plaatsen-vervangen,install-replace-thermostatic-valves
257,serre-verbouwen,build-renovate-conservatory
62,elektrisch-hek-poort-installeren-vervangen,install-electric-gate-engines
132,vloer-isoleren,floor-insulation
251,opstijgend-doorslaand-vocht-bestrijden,treat-rising-penetrating-damp
142,ikea-badkamer,install-ikea-bathroom
30,gietvloer-aanbrengen,install-cast-floor
245,ventilatiesysteem-repareren-onderhouden-schoonmaken,repair-maintain-clean-ventilation-system
183,openhaard-renoveren-verplaatsen,move-renovate-fireplace
61,deurbel-intercom-installeren-repareren,install-repair-intercom-doorphone
